block_height,market,position,account,side,asset,amount_base_units
9049309,granite-aeusdc,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,SP1K092RK0FVE8XTMH6T8YHJM4Z06X5CKKRXD9P78,debt_stored,shares,1
9049309,granite-aeusdc,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,collateral,sBTC,8
9049309,granite-aeusdc,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,debt,token-aeusdc,1777
9049309,granite-aeusdc,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,SP1K78P0K99DT9QXJD0K2HA5EYFN2K0M5645DVEEC,debt_stored,shares,1150
9049309,granite-aeusdc,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,collateral,sBTC,112
9049309,granite-aeusdc,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,debt,token-aeusdc,32918
9049309,granite-aeusdc,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,SP1K7QH9K7QPY3T6GTYVFG98NVD7ZHGMAT97VKW0,debt_stored,shares,21309
9049309,granite-aeusdc,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,collateral,sBTC,100
9049309,granite-aeusdc,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,SP1KAVMBCAHJQYFZN5TT56XR1RJGCVTDFBMSSBYKW,debt_stored,shares,1
9049309,granite-aeusdc,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,collateral,sBTC,207
9049309,granite-aeusdc,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,debt,token-aeusdc,77556
9049309,granite-aeusdc,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,SP1KD2BS98HCAEZQB3A4AXNS2KNAFTXF2CTJBQWF6,debt_stored,shares,50205
9049309,granite-aeusdc,SP1M4N6YS1FKT75K7J449G6Q2TNZW3EEG1304D8J0,SP1M4N6YS1FKT75K7J449G6Q2TNZW3EEG1304D8J0,collateral,sBTC,87
